n,m,R,R_next,C_reverse,eta_R_xi,J,omega,source_fisher2,poisson_source_bound,corrected_chi2,poisson_chi2_bound,correction_transport_error,ledger_error
8,3,2.469248332776796e-16,5.64278525006209e-11,5.642781615927805e-11,1.3962007583836772e-19,-2.1072311050846173e-16,17.24918717773437,6.936895200656763e-33,1.1895078942113343e-05,7.908884469499196e-06,0.004880232021002282,1.734723475976807e-17,2.4349177915778056e-27
10,3,2.9742644299157496e-16,2.5123120169776044e-12,2.512023603800367e-12,2.1477631848721644e-20,-9.034743386098085e-18,19.381774756707753,1.5203627442161314e-32,6.528978768836427e-07,1.0343498851807708e-06,0.001142186313207808,5.204170427930421e-18,-7.67167230327434e-29
10,4,2.5123120169776044e-12,3.2446818819923937e-09,3.1630466421899066e-09,9.701162182028603e-12,6.94217656034808e-11,24.66084128778991,4.3140097732347254e-11,3.000912872321508e-05,3.792379392720775e-05,0.007758610311382864,8.673617379884035e-18,-6.462348535570529e-26
12,3,-9.947748197013833e-17,3.974149003289608e-13,3.993881376269502e-13,1.4619275645647451e-19,-1.8739060087756974e-15,2.6777218567327483,2.676629748831181e-32,1.2027452388366908e-07,2.9840226629211624e-07,0.0004901777178633277,6.071532165918825e-18,-1.932709217791479e-29
12,4,3.974149003289608e-13,1.1279397674440414e-10,1.093566108800659e-10,7.781785759297176e-13,2.261772388079557e-12,28.32264742292365,7.796850726102377e-13,1.5047427663417525e-06,4.278502200910994e-06,0.0017343575783104938,3.469446951953614e-18,7.270142102516845e-27
12,5,1.1279397674440414e-10,3.1988655439162114e-08,2.9141486240232687e-08,3.995021371477129e-10,2.3348730850373094e-09,32.92810589153599,1.8998244805326624e-09,6.266488107380724e-05,0.00011977281022446912,0.011224241928875672,3.903127820947816e-18,1.6543612251060553e-24
14,3,5.104297330247161e-16,1.0805472347652208e-13,1.0815776753815009e-13,-1.8942125940531998e-20,-6.134548525267929e-16,0.2239378667472354,5.520788338066887e-33,3.643864973273672e-08,1.219091039921094e-07,0.00026980080333089177,2.6020852139652106e-18,2.465190328815662e-30
14,4,1.0805472347652208e-13,1.4112988472328406e-11,1.3593705265891573e-11,1.4106582839485282e-13,2.701626545654591e-13,4.516192070320339,6.568169769473026e-14,2.626644718262385e-07,1.1117673176696202e-06,0.0007244689053980664,1.3010426069826053e-18,1.0097419586828951e-28
14,5,1.4112988472328406e-11,1.1331983506249782e-09,1.0248266653029625e-09,2.5709493221772294e-11,6.854920362791507e-11,38.63317151522091,2.7332673439095887e-11,2.949257243410546e-06,1.2575279543273387e-05,0.002428661699284811,1.5178830414797062e-18,-1.4217166778255163e-25
14,6,1.1331983506249782e-09,1.5601617642508803e-07,1.3251562880076136e-07,3.6518411947120242e-09,1.8715508078989666e-08,41.90038744093238,1.866609299417325e-08,0.00011530783704818037,0.00028705612793871257,0.01524554171817785,1.951563910473908e-18,1.3234889800848443e-23
16,3,1.6219995920633556e-15,4.0067293924102374e-14,3.9257547247061695e-14,-2.1061596807296773e-20,-8.122318534258697e-16,0.01440867332416612,1.1979389307703475e-32,1.4489943588847297e-08,6.064277566053779e-08,0.00017013702004131556,1.3010426069826053e-18,1.1832913578315177e-30
