n,m,radial_J,bound,ratio,x,heat_mass,true_deleted_mass
40,4,7.560217486340297e-10,523.97890432721,1.4428476841157627e-12,0.00018814777670405968,1.0,0.9999999999999992
40,8,1.384033015327763e-08,929.4795502320748,1.489040845473356e-11,0.00032743455552697916,1.0,0.9999999999999999
40,14,1.091676857659434e-06,3668.4870699055887,2.975823103248744e-10,0.001202920634530985,1.0,1.0000000000000007
40,19,0.0019600638196394073,101866.84473010697,1.9241430563914446e-08,0.020924485308283534,1.0,1.0
64,4,1.3140971810033992e-10,195.22013371721172,6.731360930768284e-13,0.00010184251874055975,1.0,1.0000000000000004
64,8,1.2962901438566395e-09,265.47158004606274,4.882971441356233e-12,0.0001377145856474954,1.0,0.9999999999999996
64,24,2.270493450476825e-06,2328.313833179547,9.751664136171185e-10,0.0011240101217406915,1.0,1.0000000000000016
64,31,0.00815147157927816,78871.92889220834,1.0335073192413625e-07,0.026049402563240006,1.0,1.0000000000000002
128,4,1.261527449787946e-11,50.88658845897923,2.4790961390640094e-13,4.5558198602565105e-05,1.0,1.0000000000000004
128,8,8.269259229673776e-11,58.397499956253746,1.416029664945995e-12,5.2221468307743476e-05,1.0,1.0000000000000013
128,53,9.702918015803455e-06,1420.0710096227572,6.832699174938471e-09,0.0012002310196892916,1.0,0.9999999999999992
128,63,0.02488790163736493,29620.42894117816,8.402275904507885e-07,0.023584529539999163,1.0,1.0
512,4,1.6335911304877627e-13,3.961045221183392,4.1241415820032347e-14,1.052469086388687e-05,1.0,0.9999999999999986
512,8,8.252757031830452e-13,4.089803083578317,2.0178861581300918e-13,1.0865533967267854e-05,1.0,0.9999999999999989
512,234,7.686444156404031e-05,402.64428906156814,1.9089912275469282e-07,0.0010736923548668442,1.0,0.9999999999999969
512,255,0.014972312352867173,1887.3100720075508,7.933149181438412e-06,0.007475296335527798,1.0000000000000004,1.0
2048,4,2.488080082007302e-15,0.31784095995051875,7.828066220271435e-15,2.581171135449959e-06,1.0,0.9999999999999984
2048,8,1.1564520571036854e-14,0.3203623333063712,3.6098253036437306e-14,2.601484687842679e-06,1.0,1.0000000000000004
2048,979,0.00023035893442038032,80.96484119492081,2.845172435598274e-06,0.0006795906484907677,1.0000000000000013,1.000000000000011
2048,1023,0.004241234911156235,165.44515362809514,2.5635292531385503e-05,0.0019332182553961584,1.000000000000004,0.9999999999999998
4096,4,3.243306161674678e-16,0.08958994466333496,3.620167613522385e-15,1.2864920167539694e-06,1.0,1.0000000000000013
4096,8,1.442386299072469e-15,0.08994606346565098,1.6036124800762337e-14,1.2915307829249902e-06,1.0,0.9999999999999968
4096,1984,0.0002742181306305115,33.592777823651915,8.163008491588354e-06,0.00046820908851166173,1.0000000000000013,1.0000000000000002
4096,2047,0.002161153859074891,55.569143500532284,3.889125732258569e-05,0.0009716294509380952,0.9999999999999898,1.0000000000000002
