n,m,tau,radial_kl,radial_chi2,true_mass,heat_mass,heat_crosscheck_l1,max_log_likelihood
32,16,0.15630062328183428,0.0014895228362922495,0.0025372059787465364,1.0,1.0,3.369309349240066e-17,0.060135736252661554
32,11,0.02523157928332454,1.6654100967281239e-06,3.1683980965181147e-06,0.9999999999999992,1.0,7.119479461624937e-18,0.0020834957121289577
32,6,0.009318448154116544,4.5609238856020574e-08,8.864309566716523e-08,1.0000000000000007,1.0,9.034000327858698e-19,0.00029747561160675673
64,32,0.5197227703492403,0.013940675775058359,0.025493842139288975,0.9999999999999999,1.0,2.4917645941020606e-16,0.1821060568233649
64,24,0.06966800541754903,7.271125091553746e-06,1.4038655354415585e-05,1.0000000000000016,1.0,2.1712538157139227e-17,0.004798744603849325
64,17,0.03277377678503045,3.962696177828317e-07,7.765591844801445e-07,0.9999999999999992,1.0,1.4014809620670248e-17,0.001107648741083711
128,64,1.3686238953620715,0.05105521147559004,0.09075799920756886,1.0,1.0,2.148123472559329e-16,0.2278521134981557
128,53,0.21432228819454163,4.6365161886427895e-05,9.000619775620934e-05,0.9999999999999994,1.0,1.3377305579252427e-16,0.012038206304577415
128,39,0.08749714481223296,1.2971480905902382e-06,2.5595915858432385e-06,0.9999999999999993,0.9999999999999999,2.911177000361326e-17,0.002103020702765246
256,128,3.0320012704749457,0.0759675963240085,0.12404086124480408,1.0000000000000002,1.0,4.3843733390600697e-16,0.30681046275197144
256,112,0.6036446431341467,0.00019916398660292146,0.00038681439255190827,0.9999999999999968,0.9999999999999999,2.545103860050254e-16,0.021047097308918294
256,88,0.2357671779660291,4.408509744780534e-06,8.728003629185846e-06,0.9999999999999984,0.9999999999999999,1.5645983728311402e-16,0.0037624961266145007
512,256,6.322200136591357,0.0839504550232803,0.13539607914041107,0.9999999999999996,0.9999999999999989,2.2364186540500273e-15,0.3195387459341008
512,234,1.734251241907387,0.0008847642562911564,0.0016989389338109904,0.9999999999999967,1.0,6.30558700617785e-17,0.03479859899624915
512,193,0.6264713414944281,1.4311258491954992e-05,2.8353693856921535e-05,1.000000000000011,1.0000000000000002,3.1482491426276813e-16,0.005685741487954088
1024,512,12.890944179068734,0.08725853142612741,0.14037567721829922,0.9999999999999994,0.9999999999999982,3.4994716743711115e-15,0.3196895067950769
1024,480,4.582678094460191,0.0026828390686878673,0.005045746137840151,1.000000000000004,0.9999999999999998,5.55559466566827e-16,0.05402854003282598
1024,411,1.5992058427690983,3.950649403716851e-05,7.816502973951449e-05,0.9999999999999902,1.0,3.657635718157958e-16,0.007302152740325418
2048,1024,26.02353581703533,0.0887983304857028,0.14272836328314178,1.0000000000000027,1.0000000000000027,3.3660420698863443e-15,0.32853840272796386
2048,979,11.919172292208257,0.007252196885353603,0.013206946511684886,1.0000000000000142,1.0000000000000013,2.453542424595102e-15,0.08792280800912522
2048,863,4.04991720193927,0.00010497321185388986,0.0002068800332533432,1.0000000000000009,0.9999999999999998,2.75676916436051e-16,0.011004527964105115
4096,2048,52.2864361021836,0.08954335725412557,0.14387366112132985,0.9999999999999939,1.0000000000000027,4.191062330028098e-15,0.33226230110553834
4096,1984,29.299336804481978,0.015137236046735328,0.026671950593869585,1.0000000000000002,1.0000000000000013,5.1143211732403065e-15,0.12883925457751833
4096,1793,10.200481873425119,0.0002700779791214858,0.000528501675631912,1.000000000000003,0.9999999999999982,7.927597836817187e-16,0.016543249509639146
