# j k lower_numerator upper_numerator denominator
0 0 1833166929 1833166930 100000000
0 1 1823833375 1823833376 100000000
0 2 1813868159 1813868160 100000000
0 3 1803265306 1803265307 100000000
0 4 1792018865 1792018866 100000000
1 0 1833908419 1833908420 100000000
1 1 1824371603 1824371604 100000000
1 2 1814201570 1814201571 100000000
1 3 1803392354 1803392355 100000000
1 4 1791938010 1791938011 100000000
2 0 1834574382 1834574383 100000000
2 1 1824834011 1824834012 100000000
2 2 1814458871 1814458872 100000000
2 3 1803443004 1803443005 100000000
2 4 1791780474 1791780475 100000000
3 0 1835164655 1835164656 100000000
3 1 1825220436 1825220437 100000000
3 2 1814639901 1814639902 100000000
3 3 1803417099 1803417100 100000000
3 4 1791546100 1791546101 100000000
4 0 1835679071 1835679072 100000000
4 1 1825530716 1825530717 100000000
4 2 1814744500 1814744501 100000000
4 3 1803314478 1803314479 100000000
4 4 1791234731 1791234732 100000000
5 0 1836117465 1836117466 100000000
5 1 1825764686 1825764687 100000000
5 2 1814772504 1814772505 100000000
5 3 1803134982 1803134983 100000000
5 4 1790846208 1790846209 100000000
6 0 1836479670 1836479671 100000000
6 1 1825922181 1825922182 100000000
6 2 1814723750 1814723751 100000000
6 3 1802878449 1802878450 100000000
6 4 1790380372 1790380373 100000000
7 0 1836765518 1836765519 100000000
7 1 1826003036 1826003037 100000000
7 2 1814598075 1814598076 100000000
7 3 1802544717 1802544718 100000000
7 4 1789837063 1789837064 100000000
8 0 1836974839 1836974840 100000000
8 1 1826007082 1826007083 100000000
8 2 1814395314 1814395315 100000000
8 3 1802133623 1802133624 100000000
8 4 1789216119 1789216120 100000000
9 0 1837107465 1837107466 100000000
9 1 1825934153 1825934154 100000000
9 2 1814115300 1814115301 100000000
9 3 1801645003 1801645004 100000000
9 4 1788517378 1788517379 100000000
10 0 1837163226 1837163227 100000000
10 1 1825784080 1825784081 100000000
10 2 1813757868 1813757869 100000000
10 3 1801078692 1801078693 100000000
10 4 1787740678 1787740679 100000000
