PASS contiguous_P_4_2, a=1/40, c=19/20
PASS contiguous_P_4_2, a=1/80, c=19/20
PASS contiguous_P_4_2, a=1/1000, c=19/20
PASS nonuniform_rank_one_2, a=1/40, c=19/20
PASS nonuniform_rank_one_2, a=1/1000, c=19/20
PASS nonuniform_rank_one_4, a=1/40, c=19/20
PASS strict_contraction, a=1/40, c=19/20
PASS strict_contraction_high_c_general_kappa, a=1/200, c=99/100
PASS one_percent_strict_contraction, a=41/4000, c=959/1000
PASS one_percent_strict_contraction, a=123/4000, c=959/1000
PASS contiguous_P_6_2, a=1/40, c=19/20
PASS contiguous_P_6_3, a=1/40, c=19/20
PASS contiguous_P_6_3, a=41/4000, c=959/1000
PASS contiguous_P_6_3, a=1/200, c=99/100
PASS contiguous_P_6_3_positive_field, a=1/40, c=19/20
PASS contiguous_P_6_3_positive_field, a=1/80, c=19/20
WROTE [LOCAL_USER]\Documents\Codex\2026-09-16\ni\research\overnight-reviewed-20260917\group-b\research\s4-round4-information-payment-20260917\output\staged-replay\exact_certificate.json
